trading_day,US_LargeCap,US_SmallCap,Tech_Growth,EU_Equity,EM_Equity,US_Treas_10Y,US_Corp_Credit,Commodities,Gold,Real_Estate
1,0.00906651787436419,-0.0012486036633298486,0.006274376508154222,-0.003781796323399806,-0.01458450519258169,-0.001065901549100087,-0.004251850349691457,-0.014468841780770103,-0.012426148029275604,-0.016505211539422616
2,0.016767527829909413,-9.489805826445847e-4,0.029378204595153723,0.008703810285094985,0.016444779933005402,0.009154768252322594,0.007125184938230388,0.017228038678599514,0.007483232999087327,0.01465146237076619
3,0.0165276663041683,0.026753445399061354,0.03406460835777607,0.007582830846869886,0.04105148645678685,-0.002631569333465356,-4.6028627617267795e-4,-0.015567802779705046,0.008799043847910533,0.02235974302960556
4,0.005818572264762414,0.014615473641958957,0.006513457141424313,0.0020947448322444187,-6.277415942475542e-4,-0.0016788221832133659,0.002695766708978781,0.013737971348544976,-0.0031729842503830873,-0.004785441864147377
5,0.017013031547064853,0.010734576236833859,0.01575521421276868,0.017143044995973366,0.013181367129246427,-0.007294031807584996,-0.0029279893984432937,-2.2747889935879662e-4,0.011927898011026257,0.005245023041752557
6,-0.0032902785591007932,-0.00960329820475188,-0.0034796684464185133,-0.004844651934729736,-0.006351552195372792,0.005895205970231984,0.0041730465291467825,-0.008139787028128042,-0.009899962249079622,-0.008625253588575067
7,0.008049777425129905,0.018215930475129986,0.027775030487800282,0.011692151669446729,0.015769947647969976,-7.460778404655551e-4,0.003580946489678178,0.012564224907253766,-0.020853505077707238,0.015022943619481385
8,-0.005053169926283416,0.012954492873096978,-1.1170335952916165e-5,-0.0075616854854127285,0.006940526395181347,-0.011681997483983003,-0.010554296189778238,-0.010190198644986088,-0.004647857694505848,-0.010903806580042913
9,0.010993529758780542,0.01378401045253097,0.018386043029117744,0.00941395517595412,0.020893652244333878,-0.004630509359061884,0.009870166686457012,-0.0012766261907878633,-0.01174177955144346,0.0021862986470730845
10,-0.016000971692875388,-0.0012402627376690697,-0.015934117898192036,-0.016996891378340245,-0.0179943699006964,-0.0037957157573369716,-0.006508770136655805,-0.017230662346680213,0.0023585916173987725,-0.007653420894910756
11,-0.017975505931591505,-0.008733097515538987,-0.01667715988704583,0.0025002684934021754,-0.019525833648902337,6.248643703304094e-4,-0.004939238584211301,0.005347809194124931,-0.008654223080697125,6.67300667904225e-4
